ID,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
340,Indiana Jones,good,Male,-,Human,-,George Lucas,-,183.0,79.0
341,Indigo,neutral,Female,-,Alien,Purple,DC Comics,-,-99.0,-99.0
342,Ink,good,Male,blue,Mutant,No Hair,Marvel Comics,-,180.0,81.0
343,Invisible Woman,good,Female,blue,Human / Radiation,Blond,Marvel Comics,-,168.0,54.0
344,Iron Fist,good,Male,blue,Human,Blond,Marvel Comics,-,180.0,79.0
345,Iron Man,good,Male,blue,Human,Black,Marvel Comics,-,198.0,191.0
346,Iron Monger,bad,Male,blue,-,No Hair,Marvel Comics,-,-99.0,2.0
347,Isis,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
348,Jack Bauer,good,Male,-,-,-,,-,-99.0,-99.0
349,Jack of Hearts,good,Male,blue / white,Human,Brown,Marvel Comics,-,155.0,79.0
350,Jack-Jack,good,Male,blue,Human,Brown,Dark Horse Comics,-,71.0,14.0
351,James Bond,good,Male,blue,Human,Blond,Titan Books,-,183.0,-99.0
352,James T. Kirk,good,Male,hazel,Human,Brown,Star Trek,-,178.0,77.0
353,Jar Jar Binks,good,Male,yellow,Gungan,-,George Lucas,orange / white,193.0,-99.0
354,Jason Bourne,good,Male,-,Human,-,,-,-99.0,-99.0
355,Jean Grey,good,Female,green,Mutant,Red,Marvel Comics,-,168.0,52.0
356,Jean-Luc Picard,good,Male,-,Human,-,Star Trek,-,-99.0,-99.0
357,Jennifer Kale,good,Female,blue,-,Blond,Marvel Comics,-,168.0,55.0
358,Jesse Quick,good,Female,-,Human,-,DC Comics,-,-99.0,-99.0
359,Jessica Cruz,good,Female,green,Human,Brown,DC Comics,-,-99.0,-99.0
360,Jessica Jones,good,Female,brown,Human,Brown,Marvel Comics,-,170.0,56.0
361,Jessica Sanders,good,Female,-,-,-,NBC - Heroes,-,-99.0,-99.0
362,Jigsaw,bad,Male,blue,-,Black,Marvel Comics,-,188.0,113.0
363,Jim Powell,good,Male,-,-,-,ABC Studios,-,-99.0,-99.0
364,JJ Powell,good,Male,-,-,-,ABC Studios,-,-99.0,-99.0
365,Johann Krauss,good,Male,-,-,-,Dark Horse Comics,-,-99.0,-99.0
366,John Constantine,good,Male,blue,Human,Blond,DC Comics,-,183.0,-99.0
367,John Stewart,good,Male,green,Human,Black,DC Comics,-,185.0,90.0
368,John Wraith,good,Male,brown,-,Black,Marvel Comics,-,183.0,88.0
369,Joker,bad,Male,green,Human,Green,DC Comics,white,196.0,86.0
370,Jolt,good,Female,blue,-,Black,Marvel Comics,-,165.0,49.0
371,Jubilee,good,Female,red,Mutant,Black,Marvel Comics,-,165.0,52.0
372,Judge Dredd,good,Male,-,Human,-,Rebellion,-,188.0,-99.0
373,Juggernaut,neutral,Male,blue,Human,Red,Marvel Comics,-,287.0,855.0
374,Junkpile,bad,Male,-,Mutant,-,Marvel Comics,-,-99.0,-99.0
375,Justice,good,Male,hazel,Human,Brown,Marvel Comics,-,178.0,81.0
376,Jyn Erso,good,Female,green,Human,Brown,George Lucas,-,-99.0,-99.0
377,K-2SO,good,Male,white,Android,No Hair,George Lucas,gray,213.0,-99.0
378,Kang,bad,Male,brown,-,Brown,Marvel Comics,-,191.0,104.0
379,Karate Kid,good,Male,brown,Human,Brown,DC Comics,-,173.0,72.0
380,Kathryn Janeway,good,Female,-,Human,-,Star Trek,-,-99.0,-99.0
381,Katniss Everdeen,good,Female,-,Human,-,,-,-99.0,-99.0
382,Kevin 11,good,Male,-,Human,Black,DC Comics,-,-99.0,-99.0
383,Kick-Ass,good,Male,blue,Human,Blond,Icon Comics,-,-99.0,-99.0
384,Kid Flash,good,Male,green,Human,Red,DC Comics,-,-99.0,-99.0
385,Kid Flash II,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
386,Killer Croc,bad,Male,red,Metahuman,No Hair,DC Comics,green,244.0,356.0
387,Killer Frost,bad,Female,blue,Human,Blond,DC Comics,blue,-99.0,-99.0
388,Kilowog,good,Male,red,Bolovaxian,No Hair,DC Comics,pink,234.0,324.0
389,King Kong,good,Male,yellow,Animal,Black,,-,30.5,
390,King Shark,bad,Male,black,Animal,No Hair,DC Comics,-,-99.0,-99.0
391,Kingpin,bad,Male,blue,Human,No Hair,Marvel Comics,-,201.0,203.0
392,Klaw,bad,Male,red,Human,No Hair,Marvel Comics,red,188.0,97.0
393,Kool-Aid Man,good,Male,black,-,No Hair,,red,-99.0,-99.0
394,Kraven II,bad,Male,brown,Human,Black,Marvel Comics,-,191.0,99.0
395,Kraven the Hunter,bad,Male,brown,Human,Black,Marvel Comics,-,183.0,106.0
396,Krypto,good,Male,blue,Kryptonian,White,DC Comics,-,64.0,18.0
397,Kyle Rayner,good,Male,green,Human,Black,DC Comics,-,180.0,79.0
398,Kylo Ren,bad,Male,-,Human,-,George Lucas,-,-99.0,-99.0
399,Lady Bullseye,bad,Female,-,-,Black,Marvel Comics,-,-99.0,-99.0
400,Lady Deathstrike,bad,Female,brown,Cyborg,Black,Marvel Comics,-,175.0,58.0
401,Leader,bad,Male,green,-,No Hair,Marvel Comics,-,178.0,63.0
402,Leech,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
403,Legion,good,Male,green / blue,Mutant,Black,Marvel Comics,-,175.0,59.0
404,Leonardo,good,Male,blue,Mutant,No Hair,IDW Publishing,green,-99.0,-99.0
405,Lex Luthor,bad,Male,green,Human,No Hair,DC Comics,-,188.0,95.0
406,Light Lass,good,Female,blue,-,Red,DC Comics,-,165.0,54.0
407,Lightning Lad,good,Male,blue,-,Red,DC Comics,-,155.0,65.0
408,Lightning Lord,bad,Male,blue,-,Red,DC Comics,-,191.0,95.0
409,Living Brain,bad,-,yellow,-,-,Marvel Comics,-,198.0,360.0
410,Living Tribunal,neutral,-,blue,Cosmic Entity,No Hair,Marvel Comics,gold,-99.0,-99.0
411,Liz Sherman,good,Female,-,-,-,Dark Horse Comics,-,-99.0,-99.0
412,Lizard,bad,Male,red,Human,No Hair,Marvel Comics,-,203.0,230.0
413,Lobo,neutral,Male,red,Czarnian,Black,DC Comics,blue-white,229.0,288.0
414,Loki,bad,Male,green,Asgardian,Black,Marvel Comics,-,193.0,236.0
415,Longshot,good,Male,blue,Human,Blond,Marvel Comics,-,188.0,36.0
416,Luke Cage,good,Male,brown,Human,Black,Marvel Comics,-,198.0,191.0
417,Luke Campbell,bad,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
418,Luke Skywalker,good,Male,blue,Human,Blond,George Lucas,-,168.0,77.0
419,Luna,good,Female,-,Human,-,Marvel Comics,-,-99.0,-99.0
420,Lyja,good,Female,green,-,Green,Marvel Comics,-,-99.0,-99.0
421,Mach-IV,bad,Male,brown,-,Brown,Marvel Comics,-,180.0,79.0
422,Machine Man,good,-,red,-,Black,Marvel Comics,-,183.0,383.0
423,Magneto,bad,Male,grey,Mutant,White,Marvel Comics,-,188.0,86.0
424,Magog,good,Male,blue,-,Blond,DC Comics,-,-99.0,-99.0
425,Magus,bad,Male,black,-,-,Marvel Comics,-,183.0,-99.0
426,Man of Miracles,-,-,blue,God / Eternal,Silver,Image Comics,-,-99.0,-99.0
427,Man-Bat,neutral,Male,brown,Human,Brown,DC Comics,-,-99.0,-99.0
428,Man-Thing,good,Male,red,-,No Hair,Marvel Comics,green,213.0,225.0
429,Man-Wolf,good,Male,brown,-,Auburn,Marvel Comics,-,188.0,90.0
430,Mandarin,bad,Male,blue,Human,White,Marvel Comics,-,188.0,97.0
431,Mantis,good,Female,green,Human-Kree,Black,Marvel Comics,green,168.0,52.0
432,Martian Manhunter,good,Male,red,Martian,No Hair,DC Comics,green,201.0,135.0
433,Marvel Girl,good,Female,green,-,Red,Marvel Comics,-,170.0,56.0
434,Master Brood,good,Male,blue,-,Black,Team Epic TV,-,183.0,81.0
435,Master Chief,good,Male,brown,Human / Altered,Brown,Microsoft,-,213.0,-99.0
436,Match,bad,Male,black,-,Black,DC Comics,-,-99.0,-99.0
437,Matt Parkman,good,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
438,Maverick,good,Male,blue,-,Black,Marvel Comics,-,193.0,110.0
439,Maxima,bad,Female,brown,-,Red,DC Comics,-,180.0,72.0
440,Maya Herrera,good,Female,-,-,-,NBC - Heroes,-,-99.0,-99.0
441,Medusa,good,Female,green,Inhuman,Red,Marvel Comics,-,180.0,59.0
442,Meltdown,good,Female,blue,-,Blond,Marvel Comics,-,165.0,54.0
443,Mephisto,bad,Male,white,-,Black,Marvel Comics,-,198.0,140.0
444,Mera,good,Female,blue,Atlantean,Red,DC Comics,-,175.0,72.0
445,Metallo,bad,Male,green,Android,Brown,DC Comics,-,196.0,90.0
446,Metamorpho,good,Male,black,-,No Hair,DC Comics,-,185.0,90.0
447,Meteorite,good,Female,-,-,-,Marvel Comics,-,-99.0,-99.0
448,Metron,good,Male,blue,-,Black,DC Comics,-,185.0,86.0
449,Micah Sanders,good,Male,brown,-,Black,NBC - Heroes,-,-99.0,-99.0
450,Michelangelo,good,Male,blue,Mutant,-,IDW Publishing,green,-99.0,-99.0
451,Micro Lad,good,Male,grey,-,Brown,DC Comics,-,183.0,77.0
452,Mimic,good,Male,brown,-,Brown,Marvel Comics,-,188.0,101.0
453,Minna Murray,good,Female,-,-,-,Wildstorm,-,-99.0,-99.0
454,Misfit,good,Female,blue,-,Red,DC Comics,-,-99.0,-99.0
455,Miss Martian,good,Female,red,-,Red,DC Comics,-,178.0,61.0
456,Mister Fantastic,good,Male,brown,Human / Radiation,Brown,Marvel Comics,-,185.0,81.0
457,Mister Freeze,bad,Male,-,Human,-,DC Comics,-,183.0,86.0
458,Mister Knife,bad,Male,blue,Spartoi,Brown,Marvel Comics,-,-99.0,-99.0
459,Mister Mxyzptlk,bad,Male,-,God / Eternal,-,DC Comics,-,-99.0,-99.0
460,Mister Sinister,bad,Male,red,Human / Altered,Black,Marvel Comics,-,196.0,128.0
461,Mister Zsasz,bad,Male,blue,Human,Blond,DC Comics,-,-99.0,-99.0
462,Mockingbird,good,Female,blue,Human,Blond,Marvel Comics,-,175.0,61.0
463,MODOK,bad,Male,white,Cyborg,Brownn,Marvel Comics,-,366.0,338.0
464,Mogo,good,Male,-,Planet,-,DC Comics,-,-99.0,-99.0
465,Mohinder Suresh,good,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
466,Moloch,bad,Male,-,-,-,DC Comics,-,-99.0,-99.0
467,Molten Man,bad,Male,gold,-,Gold,Marvel Comics,-,196.0,248.0
468,Monarch,good,Male,blue,-,White,DC Comics,-,193.0,90.0
469,Monica Dawson,good,Female,-,-,-,NBC - Heroes,-,-99.0,-99.0
470,Moon Knight,good,Male,brown,Human,Brown,Marvel Comics,-,188.0,101.0
471,Moonstone,bad,Female,blue,-,Blond,Marvel Comics,-,180.0,59.0
472,Morlun,bad,Male,white / red,-,Black,Marvel Comics,-,188.0,79.0
473,Morph,good,Male,white,-,No Hair,Marvel Comics,-,178.0,79.0
474,Moses Magnum,bad,Male,brown,-,Black,Marvel Comics,-,175.0,72.0
475,Mr Immortal,good,Male,blue,Mutant,Blond,Marvel Comics,-,188.0,70.0
476,Mr Incredible,good,Male,blue,Human,Blond,Dark Horse Comics,-,201.0,158.0
477,Ms Marvel II,good,Female,blue,-,Red,Marvel Comics,-,173.0,61.0
478,Multiple Man,good,Male,blue,-,Brown,Marvel Comics,-,180.0,70.0
479,Mysterio,bad,Male,brown,Human,No Hair,Marvel Comics,-,180.0,79.0
480,Mystique,bad,Female,yellow (without irises),Mutant,Red / Orange,Marvel Comics,blue,178.0,54.0
481,Namor,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
482,Namor,good,Male,grey,Atlantean,Black,Marvel Comics,-,188.0,125.0
483,Namora,good,Female,blue,-,Blond,Marvel Comics,-,180.0,85.0
484,Namorita,good,Female,blue,-,Blond,Marvel Comics,-,168.0,101.0
485,Naruto Uzumaki,good,Male,-,Human,-,Shueisha,-,168.0,54.0
486,Nathan Petrelli,good,Male,brown,-,-,NBC - Heroes,-,-99.0,-99.0
487,Nebula,bad,Female,blue,Luphomoid,No Hair,Marvel Comics,blue,185.0,83.0
488,Negasonic Teenage Warhead,good,Female,black,Mutant,Black,Marvel Comics,-,-99.0,-99.0
489,Nick Fury,good,Male,brown,Human,Brown / White,Marvel Comics,-,185.0,99.0
490,Nightcrawler,good,Male,yellow,-,Indigo,Marvel Comics,-,175.0,88.0
491,Nightwing,good,Male,blue,Human,Black,DC Comics,-,178.0,79.0
492,Niki Sanders,good,Female,blue,-,Blond,NBC - Heroes,-,-99.0,-99.0
493,Nina Theroux,good,Female,-,Alpha,-,SyFy,-,-99.0,-99.0
494,Nite Owl II,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
495,Northstar,good,Male,blue,-,Black,Marvel Comics,-,180.0,83.0
496,Nova,good,Male,brown,Human,Brown,Marvel Comics,-,185.0,86.0
497,Nova,good,Female,white,Human / Cosmic,Red,Marvel Comics,gold,163.0,59.0
498,Odin,good,Male,blue,God / Eternal,White,Marvel Comics,-,206.0,293.0
499,Offspring,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
500,Omega Red,bad,Male,red,-,Blond,Marvel Comics,-,211.0,191.0
501,Omniscient,good,Male,brown,-,Black,Team Epic TV,-,180.0,65.0
502,One Punch Man,good,Male,-,Human,No Hair,Shueisha,-,175.0,69.0
503,One-Above-All,neutral,-,-,Cosmic Entity,-,Marvel Comics,-,-99.0,-99.0
504,Onslaught,bad,Male,red,Mutant,No Hair,Marvel Comics,-,305.0,405.0
505,Oracle,good,Female,blue,Human,Red,DC Comics,-,178.0,59.0
506,Osiris,good,Male,brown,-,Brown,DC Comics,-,-99.0,-99.0
507,Overtkill,bad,Male,-,-,-,Image Comics,-,-99.0,-99.0
508,Ozymandias,bad,Male,blue,Human,Blond,DC Comics,-,-99.0,-99.0
509,Parademon,bad,-,-,Parademon,-,DC Comics,-,-99.0,-99.0
510,Paul Blart,good,Male,-,Human,-,Sony Pictures,-,170.0,117.0
511,Penance,good,-,-,-,-,Marvel Comics,-,-99.0,-99.0
512,Penance I,good,Female,-,-,-,Marvel Comics,-,-99.0,-99.0
513,Penance II,good,Male,blue,-,Blond,Marvel Comics,-,183.0,89.0
514,Penguin,bad,Male,blue,Human,Black,DC Comics,-,157.0,79.0
515,Peter Petrelli,good,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
516,Phantom,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
517,Phantom Girl,good,Female,blue,-,Black,DC Comics,-,168.0,54.0
518,Phoenix,good,Female,green,Mutant,Red,Marvel Comics,-,168.0,52.0
519,Plantman,bad,Male,green,Mutant,Grey,Marvel Comics,-,183.0,87.0
520,Plastic Lad,good,Male,-,-,-,DC Comics,-,-99.0,-99.0
521,Plastic Man,good,Male,blue,Human,Black,DC Comics,-,185.0,80.0
522,Plastique,bad,Female,blue,-,Red,DC Comics,-,168.0,55.0
523,Poison Ivy,bad,Female,green,Human,Red,DC Comics,green,168.0,50.0
524,Polaris,good,Female,green,Mutant,Green,Marvel Comics,-,170.0,52.0
525,Power Girl,good,Female,blue,Kryptonian,blond,DC Comics,-,180.0,81.0
526,Power Man,good,Male,-,Mutant,-,Marvel Comics,-,-99.0,-99.0
527,Predator,bad,Male,-,Yautja,-,Dark Horse Comics,-,213.0,234.0
528,Professor X,good,Male,blue,Mutant,No Hair,Marvel Comics,-,183.0,86.0
529,Professor Zoom,bad,Male,blue,Human,Strawberry Blond,DC Comics,-,180.0,81.0
530,Proto-Goblin,bad,Male,green,-,Blond,Marvel Comics,-,-99.0,-99.0
531,Psylocke,good,Female,blue,Mutant,Purple,Marvel Comics,-,180.0,70.0
532,Punisher,good,Male,blue,Human,Black,Marvel Comics,-,183.0,90.0
533,Purple Man,bad,Male,purple,Human,Purple,Marvel Comics,purple,180.0,74.0
534,Pyro,bad,Male,blue,-,Blond,Marvel Comics,-,178.0,68.0
535,Q,-,Male,-,God / Eternal,-,Star Trek,-,-99.0,-99.0
536,Quantum,good,Male,-,-,-,HarperCollins,-,-99.0,-99.0
537,Question,good,Male,blue,Human,Blond,DC Comics,-,188.0,83.0
538,Quicksilver,good,Male,blue,Mutant,Silver,Marvel Comics,-,183.0,79.0
539,Quill,good,Male,brown,-,Brown,Marvel Comics,-,163.0,56.0
540,Ra's Al Ghul,bad,Male,green,Human,Grey,DC Comics,-,193.0,97.0
541,Rachel Pirzad,good,Female,-,Alpha,-,SyFy,-,-99.0,-99.0
542,Rambo,good,Male,brown,Human,Black,,-,178.0,83.0
543,Raphael,good,Male,-,Mutant,No Hair,IDW Publishing,green,-99.0,-99.0
544,Raven,neutral,Female,indigo,Human,Black,DC Comics,-,165.0,50.0
545,Ray,good,Male,green,Human,Red,DC Comics,-,178.0,70.0
546,Razor-Fist II,bad,Male,blue,-,No Hair,Marvel Comics,-,191.0,117.0
547,Red Arrow,good,Male,green,Human,Red,DC Comics,-,180.0,83.0
548,Red Hood,neutral,Male,blue,Human,Black,DC Comics,-,183.0,81.0
549,Red Hulk,neutral,Male,yellow,Human / Radiation,Black,Marvel Comics,red,213.0,630.0
550,Red Mist,bad,Male,-,-,-,Icon Comics,-,-99.0,-99.0
551,Red Robin,good,Male,blue,Human,Black,DC Comics,-,165.0,56.0
552,Red Skull,bad,Male,blue,-,No Hair,Marvel Comics,-,188.0,108.0
553,Red Tornado,good,Male,green,Android,No Hair,DC Comics,-,185.0,146.0
554,Redeemer II,bad,Male,-,-,-,Image Comics,-,-99.0,-99.0
555,Redeemer III,bad,Male,-,-,-,Image Comics,-,-99.0,-99.0
556,Renata Soliz,good,Female,-,-,-,HarperCollins,-,-99.0,-99.0
557,Rey,good,Female,hazel,Human,Brown,George Lucas,-,297.0,-99.0
558,Rhino,bad,Male,brown,Human / Radiation,Brown,Marvel Comics,-,196.0,320.0
559,Rick Flag,bad,Male,blue,-,Brown,DC Comics,-,185.0,85.0
560,Riddler,bad,Male,-,-,-,DC Comics,-,-99.0,-99.0
561,Rip Hunter,good,Male,blue,Human,Blond,DC Comics,-,-99.0,-99.0
562,Ripcord,good,Female,green,-,Black,Marvel Comics,-,180.0,72.0
563,Robin,good,Male,blue,Human,Black,DC Comics,-,178.0,79.0
564,Robin II,good,Male,blue,Human,Red,DC Comics,-,183.0,101.0
565,Robin III,good,Male,blue,Human,Black,DC Comics,-,165.0,56.0
566,Robin V,good,Male,blue,Human,Black,DC Comics,-,137.0,38.0
567,Robin VI,neutral,Female,green,Human,Red,DC Comics,-,-99.0,-99.0
568,Rocket Raccoon,good,Male,brown,Animal,Brown,Marvel Comics,-,122.0,25.0
569,Rogue,good,Female,green,-,Brown / White,Marvel Comics,-,173.0,54.0
570,Ronin,good,Male,blue,Human,Blond,Marvel Comics,-,191.0,104.0
571,Rorschach,good,Male,blue,Human,Red,DC Comics,-,168.0,63.0
572,Sabretooth,bad,Male,amber,Mutant,Blond,Marvel Comics,-,198.0,171.0
573,Sage,good,Female,blue,-,Black,Marvel Comics,-,170.0,61.0
574,Sandman,neutral,Male,brown,Human,Brown,Marvel Comics,-,185.0,203.0
575,Sasquatch,good,Male,red,-,Orange,Marvel Comics,-,305.0,900.0
576,Sauron,bad,Male,-,Maiar,-,J. R. R. Tolkien,-,279.0,-99.0
577,Savage Dragon,good,Male,-,-,-,Image Comics,-,-99.0,-99.0
578,Scarecrow,bad,Male,blue,Human,Brown,DC Comics,-,183.0,63.0
579,Scarlet Spider,good,Male,blue,Human,Blond,Marvel Comics,-,178.0,74.0
580,Scarlet Spider II,good,Male,brown,Clone,Brown,Marvel Comics,-,193.0,113.0
581,Scarlet Witch,bad,Female,blue,Mutant,Brown,Marvel Comics,-,170.0,59.0
582,Scorpia,bad,Female,green,-,Red,Marvel Comics,-,-99.0,-99.0
583,Scorpion,bad,Male,brown,Human,Brown,Marvel Comics,-,211.0,310.0
584,Sebastian Shaw,bad,Male,-,Mutant,-,Marvel Comics,-,-99.0,-99.0
585,Sentry,neutral,Male,blue,Mutant,Blond,Marvel Comics,-,188.0,87.0
586,Shadow King,good,-,red,-,-,Marvel Comics,-,185.0,149.0
587,Shadow Lass,good,Female,black,Talokite,Black,DC Comics,blue,173.0,54.0
588,Shadowcat,good,Female,hazel,Mutant,Brown,Marvel Comics,-,168.0,50.0
589,Shang-Chi,good,Male,brown,Human,Black,Marvel Comics,-,178.0,79.0
590,Shatterstar,good,Male,brown,-,Red,Marvel Comics,-,191.0,88.0
591,She-Hulk,good,Female,green,Human,Green,Marvel Comics,-,201.0,315.0
592,She-Thing,good,Female,blue,Human / Radiation,No Hair,Marvel Comics,-,183.0,153.0
593,Shocker,bad,Male,brown,Human,Brown,Marvel Comics,-,175.0,79.0
594,Shriek,good,Female,yellow / blue,-,Black,Marvel Comics,-,173.0,52.0
595,Shrinking Violet,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
596,Sif,good,Female,blue,Asgardian,Black,Marvel Comics,-,188.0,191.0
597,Silk,good,Female,brown,Human,Black,Marvel Comics,-,-99.0,-99.0
598,Silk Spectre,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
599,Silk Spectre II,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
600,Silver Surfer,good,Male,white,Alien,No Hair,Marvel Comics,silver,193.0,101.0
601,Silverclaw,good,Female,brown,-,Black,Marvel Comics,-,157.0,50.0
602,Simon Baz,good,Male,bown,Human,Black,DC Comics,-,-99.0,-99.0
603,Sinestro,neutral,Male,black,Korugaran,Black,DC Comics,red,201.0,92.0
604,Siren,bad,Female,blue,Atlantean,Purple,DC Comics,-,175.0,72.0
605,Siren II,bad,Female,black,-,-,DC Comics,-,-99.0,-99.0
606,Siryn,bad,Female,blue,-,Strawberry Blond,Marvel Comics,-,168.0,52.0
607,Skaar,good,Male,green,-,Black,Marvel Comics,-,198.0,180.0
608,Snake-Eyes,bad,Male,-,Animal,-,Marvel Comics,-,-99.0,-99.0
609,Snowbird,good,Female,white,-,Blond,Marvel Comics,-,178.0,49.0
610,Sobek,good,Male,white,-,No Hair,DC Comics,-,-99.0,-99.0
611,Solomon Grundy,bad,Male,black,Zombie,White,DC Comics,-,279.0,437.0
612,Songbird,good,Female,green,-,Red / White,Marvel Comics,-,165.0,65.0
613,Space Ghost,good,Male,-,Human,-,DC Comics,-,188.0,113.0
614,Spawn,good,Male,brown,Demon,Black,Image Comics,-,211.0,405.0
615,Spectre,good,Male,white,God / Eternal,No Hair,DC Comics,white,-99.0,-99.0
616,Speedball,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
617,Speedy,good,Male,-,Human,-,DC Comics,-,-99.0,-99.0
618,Speedy,good,Female,green,Human,Brown,DC Comics,-,-99.0,-99.0
619,Spider-Carnage,bad,Male,-,Symbiote,-,Marvel Comics,-,-99.0,-99.0
620,Spider-Girl,good,Female,blue,Human,Brown,Marvel Comics,-,170.0,54.0
621,Spider-Gwen,good,Female,blue,Human,Blond,Marvel Comics,-,165.0,56.0
622,Spider-Man,good,Male,hazel,Human,Brown,Marvel Comics,-,178.0,74.0
623,Spider-Man,good,-,red,Human,Brown,Marvel Comics,-,178.0,77.0
624,Spider-Man,good,Male,brown,Human,Black,Marvel Comics,-,157.0,56.0
625,Spider-Woman,good,Female,green,Human,Black,Marvel Comics,-,178.0,59.0
626,Spider-Woman II,good,Female,-,-,-,Marvel Comics,-,-99.0,-99.0
627,Spider-Woman III,good,Female,brown,-,Brown,Marvel Comics,-,173.0,55.0
628,Spider-Woman IV,bad,Female,red,-,White,Marvel Comics,-,178.0,58.0
629,Spock,good,Male,brown,Human-Vulcan,Black,Star Trek,-,185.0,81.0
630,Spyke,good,Male,brown,Mutant,Blond,Marvel Comics,-,183.0,83.0
631,Stacy X,good,Female,-,-,-,Marvel Comics,-,-99.0,-99.0
632,Star-Lord,good,Male,blue,Human-Spartoi,Blond,Marvel Comics,-,188.0,79.0
633,Stardust,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
634,Starfire,good,Female,green,Tamaranean,Auburn,DC Comics,orange,193.0,71.0
635,Stargirl,good,Female,blue,Human,Blond,DC Comics,-,165.0,62.0
636,Static,good,Male,brown,Mutant,Black,DC Comics,-,170.0,63.0
637,Steel,good,Male,brown,-,No Hair,DC Comics,-,201.0,131.0
638,Stephanie Powell,good,Female,-,-,Blond,ABC Studios,-,-99.0,-99.0
639,Steppenwolf,bad,Male,red,New God,Black,DC Comics,white,183.0,91.0
640,Storm,good,Female,blue,Mutant,White,Marvel Comics,-,180.0,57.0
641,Stormtrooper,bad,Male,-,Human,-,George Lucas,-,183.0,-99.0
642,Sunspot,good,Male,brown,Mutant,black,Marvel Comics,-,173.0,77.0
643,Superboy,good,Male,blue,-,Black,DC Comics,-,170.0,68.0
644,Superboy-Prime,bad,Male,blue,Kryptonian,Black / Blue,DC Comics,-,180.0,77.0
645,Supergirl,good,Female,blue,Kryptonian,Blond,DC Comics,-,165.0,54.0
646,Superman,good,Male,blue,Kryptonian,Black,DC Comics,-,191.0,101.0
647,Swamp Thing,bad,Male,red,God / Eternal,No Hair,DC Comics,green,-99.0,-99.0
648,Swarm,bad,Male,yellow,Mutant,No Hair,Marvel Comics,yellow,196.0,47.0
649,Sylar,bad,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
650,Synch,good,Male,brown,-,Black,Marvel Comics,-,180.0,74.0
651,T-1000,bad,Male,-,Android,-,Dark Horse Comics,silver,183.0,146.0
652,T-800,bad,Male,red,Cyborg,-,Dark Horse Comics,-,-99.0,176.0
653,T-850,bad,Male,red,Cyborg,-,Dark Horse Comics,-,-99.0,198.0
654,T-X,bad,Female,-,Cyborg,-,Dark Horse Comics,silver,-99.0,149.0
655,Taskmaster,bad,Male,brown,Human,Brown,Marvel Comics,-,188.0,99.0
656,Tempest,good,Female,brown,-,Black,Marvel Comics,-,163.0,54.0
657,Thanos,bad,Male,red,Eternal,No Hair,Marvel Comics,purple,201.0,443.0
658,The Cape,good,Male,-,-,-,,-,-99.0,-99.0
659,The Comedian,neutral,Male,brown,Human,Black,DC Comics,-,188.0,101.0
660,Thing,good,Male,blue,Human / Radiation,No Hair,Marvel Comics,-,183.0,225.0
661,Thor,good,Male,blue,Asgardian,Blond,Marvel Comics,-,198.0,288.0
662,Thor Girl,good,Female,blue,Asgardian,Blond,Marvel Comics,-,175.0,143.0
663,Thunderbird,good,Male,brown,-,Black,Marvel Comics,-,185.0,101.0
664,Thunderbird II,good,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
665,Thunderbird III,good,Male,brown,-,Black,Marvel Comics,-,175.0,74.0
666,Thunderstrike,good,Male,blue,-,Blond,Marvel Comics,-,198.0,288.0
667,Thundra,good,Female,green,-,Red,Marvel Comics,-,218.0,158.0
668,Tiger Shark,bad,Male,grey,Human,No Hair,Marvel Comics,grey,185.0,203.0
669,Tigra,good,Female,green,-,Auburn,Marvel Comics,-,178.0,81.0
670,Tinkerer,bad,Male,brown,-,White,Marvel Comics,-,163.0,54.0
671,Titan,good,Male,-,-,-,HarperCollins,-,-99.0,-99.0
672,Toad,neutral,Male,black,Mutant,Brown,Marvel Comics,green,175.0,76.0
673,Toxin,good,Male,blue,Symbiote,Brown,Marvel Comics,-,188.0,97.0
674,Toxin,good,Male,black,Symbiote,Blond,Marvel Comics,-,191.0,117.0
675,Tracy Strauss,good,Female,-,-,-,NBC - Heroes,-,-99.0,-99.0
676,Trickster,-,Male,blue,Human,Blond,DC Comics,-,183.0,81.0
677,Trigon,bad,Male,yellow,God / Eternal,Black,DC Comics,red,-99.0,-99.0
678,Triplicate Girl,good,Female,purple,-,Brown,DC Comics,-,168.0,59.0
