Nombre,Alineamiento,Genero,Raza,Editorial,Color de piel,Altura,Peso,Categoria_Peso
Killer Croc,bad,Male,Metahuman,DC Comics,green,244.0,356.0,Pesados
Killer Frost,bad,Female,Human,DC Comics,blue,160.0,56.0,Livianos
Kilowog,good,Male,Bolovaxian,DC Comics,pink,234.0,324.0,Pesados
King Shark,bad,Male,Animal,DC Comics,-,220.0,172.0,Pesados
Kingpin,bad,Male,Human,Marvel Comics,-,201.0,203.0,Pesados
Klaw,bad,Male,Human,Marvel Comics,red,188.0,97.0,Livianos
Kraven II,bad,Male,Human,Marvel Comics,-,191.0,99.0,Livianos
Kraven the Hunter,bad,Male,Human,Marvel Comics,-,183.0,106.0,Livianos
Krypto,good,Male,Kryptonian,DC Comics,-,64.0,18.0,Livianos
Kyle Rayner,good,Male,Human,DC Comics,-,180.0,79.0,Livianos
Kylo Ren,bad,Male,Human,George Lucas,-,191.0,-99.0,
Lady Bullseye,bad,Female,-,Marvel Comics,-,183.0,79.0,Livianos
Lady Deathstrike,bad,Female,Cyborg,Marvel Comics,-,175.0,58.0,Livianos
Leader,bad,Male,-,Marvel Comics,-,178.0,63.0,Livianos
Leech,good,Male,-,Marvel Comics,-,168.0,55.0,Livianos
Legion,good,Male,Mutant,Marvel Comics,-,175.0,59.0,Livianos
Leonardo,good,Male,Mutant,IDW Publishing,green,187.0,81.0,Livianos
Lex Luthor,bad,Male,Human,DC Comics,-,188.0,95.0,Livianos
Light Lass,good,Female,-,DC Comics,-,165.0,54.0,Livianos
Lightning Lad,good,Male,-,DC Comics,-,155.0,65.0,Livianos
Lightning Lord,bad,Male,-,DC Comics,-,191.0,95.0,Livianos
Living Brain,bad,-,-,Marvel Comics,-,198.0,360.0,Pesados
Living Tribunal,neutral,-,Cosmic Entity,Marvel Comics,gold,180.0,249.0,Pesados
Liz Sherman,good,Female,-,Dark Horse Comics,-,-99.0,-99.0,
Lizard,bad,Male,Human,Marvel Comics,-,203.0,230.0,Pesados
Lobo,neutral,Male,Czarnian,DC Comics,blue-white,229.0,288.0,Pesados
Loki,bad,Male,Asgardian,Marvel Comics,-,193.0,236.0,Pesados
Longshot,good,Male,Human,Marvel Comics,-,188.0,36.0,Livianos
Luke Cage,good,Male,Human,Marvel Comics,-,198.0,191.0,Pesados
Luke Campbell,bad,Male,-,NBC - Heroes,-,-99.0,-99.0,
Luke Skywalker,good,Male,Human,George Lucas,-,168.0,77.0,Livianos
Luna,good,Female,Human,Marvel Comics,-,-99.0,-99.0,
Lyja,good,Female,-,Marvel Comics,-,-99.0,-99.0,
Mach-IV,bad,Male,-,Marvel Comics,-,180.0,79.0,Livianos
Machine Man,good,-,-,Marvel Comics,-,183.0,383.0,Pesados
Magneto,bad,Male,Mutant,Marvel Comics,-,188.0,86.0,Livianos
Magog,good,Male,-,DC Comics,-,-99.0,-99.0,
Magus,bad,Male,-,Marvel Comics,-,183.0,-99.0,
Man of Miracles,-,-,God / Eternal,Image Comics,-,182.0,84.0,Livianos
Man-Bat,neutral,Male,Human,DC Comics,-,185.0,92.0,Livianos
Man-Thing,good,Male,-,Marvel Comics,green,213.0,225.0,Pesados
Man-Wolf,good,Male,-,Marvel Comics,-,188.0,90.0,Livianos
Mandarin,bad,Male,Human,Marvel Comics,-,188.0,97.0,Livianos
Mantis,good,Female,Human-Kree,Marvel Comics,green,168.0,52.0,Livianos
Martian Manhunter,good,Male,Martian,DC Comics,green,201.0,135.0,Livianos
Marvel Girl,good,Female,-,Marvel Comics,-,170.0,56.0,Livianos
Master Brood,good,Male,-,Team Epic TV,-,183.0,81.0,Livianos
Master Chief,good,Male,Human / Altered,Microsoft,-,213.0,-99.0,
Match,bad,Male,-,DC Comics,-,-99.0,-99.0,
Matt Parkman,good,Male,-,NBC - Heroes,-,188.0,86.0,Livianos
Maverick,good,Male,-,Marvel Comics,-,193.0,110.0,Livianos
Maxima,bad,Female,-,DC Comics,-,180.0,72.0,Livianos
Maya Herrera,good,Female,-,NBC - Heroes,-,-99.0,-99.0,
Medusa,good,Female,Inhuman,Marvel Comics,-,180.0,59.0,Livianos
Meltdown,good,Female,-,Marvel Comics,-,165.0,54.0,Livianos
Mephisto,bad,Male,-,Marvel Comics,-,198.0,140.0,Livianos
Mera,good,Female,Atlantean,DC Comics,-,175.0,72.0,Livianos
Metallo,bad,Male,Android,DC Comics,-,196.0,90.0,Livianos
Metamorpho,good,Male,-,DC Comics,-,185.0,90.0,Livianos
Meteorite,good,Female,-,Marvel Comics,-,-99.0,-99.0,
Metron,good,Male,-,DC Comics,-,185.0,86.0,Livianos
Micah Sanders,good,Male,-,NBC - Heroes,-,175.0,70.0,Livianos
Michelangelo,good,Male,Mutant,IDW Publishing,green,157.0,82.0,Livianos
Micro Lad,good,Male,-,DC Comics,-,183.0,77.0,Livianos
Mimic,good,Male,-,Marvel Comics,-,188.0,101.0,Livianos
Minna Murray,good,Female,-,Wildstorm,-,-99.0,-99.0,
Misfit,good,Female,-,DC Comics,-,-99.0,-99.0,
Miss Martian,good,Female,-,DC Comics,-,178.0,61.0,Livianos
Mister Fantastic,good,Male,Human / Radiation,Marvel Comics,-,185.0,81.0,Livianos
Mister Freeze,bad,Male,Human,DC Comics,-,183.0,86.0,Livianos
Mister Knife,bad,Male,Spartoi,Marvel Comics,-,-99.0,-99.0,
Mister Mxyzptlk,bad,Male,God / Eternal,DC Comics,-,137.0,-99.0,
Mister Sinister,bad,Male,Human / Altered,Marvel Comics,-,196.0,128.0,Livianos
Mister Zsasz,bad,Male,Human,DC Comics,-,178.0,68.0,Livianos
Mockingbird,good,Female,Human,Marvel Comics,-,175.0,61.0,Livianos
MODOK,bad,Male,Cyborg,Marvel Comics,-,366.0,338.0,Pesados
Mogo,good,Male,Planet,DC Comics,-,-99.0,-99.0,
Mohinder Suresh,good,Male,-,NBC - Heroes,-,177.0,70.0,Livianos
Moloch,bad,Male,-,DC Comics,-,253.0,602.0,Pesados
Molten Man,bad,Male,-,Marvel Comics,-,196.0,248.0,Pesados
Monarch,good,Male,-,DC Comics,-,193.0,90.0,Livianos
Monica Dawson,good,Female,-,NBC - Heroes,-,-99.0,-99.0,
Moon Knight,good,Male,Human,Marvel Comics,-,188.0,101.0,Livianos
Moonstone,bad,Female,-,Marvel Comics,-,180.0,59.0,Livianos
Morlun,bad,Male,-,Marvel Comics,-,188.0,79.0,Livianos
Morph,good,Male,-,Marvel Comics,-,178.0,79.0,Livianos
Moses Magnum,bad,Male,-,Marvel Comics,-,175.0,72.0,Livianos
Mr Immortal,good,Male,Mutant,Marvel Comics,-,188.0,70.0,Livianos
Mr Incredible,good,Male,Human,Dark Horse Comics,-,201.0,158.0,Livianos
Ms Marvel II,good,Female,-,Marvel Comics,-,173.0,61.0,Livianos
Multiple Man,good,Male,-,Marvel Comics,-,180.0,70.0,Livianos
Mysterio,bad,Male,Human,Marvel Comics,-,180.0,79.0,Livianos
Mystique,bad,Female,Mutant,Marvel Comics,blue,178.0,54.0,Livianos
Namor,good,Male,-,Marvel Comics,-,188.0,126.0,Livianos
Namor,good,Male,Atlantean,Marvel Comics,-,188.0,125.0,Livianos
Namora,good,Female,-,Marvel Comics,-,180.0,85.0,Livianos
Namorita,good,Female,-,Marvel Comics,-,168.0,101.0,Livianos
Naruto Uzumaki,good,Male,Human,Shueisha,-,168.0,54.0,Livianos
Nathan Petrelli,good,Male,-,NBC - Heroes,-,-99.0,-99.0,
Nebula,bad,Female,Luphomoid,Marvel Comics,blue,185.0,83.0,Livianos
Negasonic Teenage Warhead,good,Female,Mutant,Marvel Comics,-,161.0,52.0,Livianos
Nick Fury,good,Male,Human,Marvel Comics,-,185.0,99.0,Livianos
Nightcrawler,good,Male,-,Marvel Comics,-,175.0,88.0,Livianos
Nightwing,good,Male,Human,DC Comics,-,178.0,79.0,Livianos
Niki Sanders,good,Female,-,NBC - Heroes,-,173.0,-99.0,
Nina Theroux,good,Female,Alpha,SyFy,-,-99.0,-99.0,
Nite Owl II,good,Male,-,DC Comics,-,-99.0,-99.0,
Northstar,good,Male,-,Marvel Comics,-,180.0,83.0,Livianos
Nova,good,Male,Human,Marvel Comics,-,185.0,86.0,Livianos
Nova,good,Female,Human / Cosmic,Marvel Comics,gold,163.0,59.0,Livianos
Odin,good,Male,God / Eternal,Marvel Comics,-,206.0,293.0,Pesados
Offspring,good,Male,-,DC Comics,-,-99.0,-99.0,
Omega Red,bad,Male,-,Marvel Comics,-,211.0,191.0,Pesados
Omniscient,good,Male,-,Team Epic TV,-,180.0,65.0,Livianos
One Punch Man,good,Male,Human,Shueisha,-,175.0,69.0,Livianos
One-Above-All,neutral,-,Cosmic Entity,Marvel Comics,-,-99.0,-99.0,
Onslaught,bad,Male,Mutant,Marvel Comics,-,305.0,405.0,Pesados
Oracle,good,Female,Human,DC Comics,-,178.0,59.0,Livianos
Osiris,good,Male,-,DC Comics,-,-99.0,-99.0,
Overtkill,bad,Male,-,Image Comics,-,228.0,262.0,Pesados
Ozymandias,bad,Male,Human,DC Comics,-,179.0,65.0,Livianos
Parademon,bad,-,Parademon,DC Comics,-,-99.0,-99.0,
Paul Blart,good,Male,Human,Sony Pictures,-,170.0,117.0,Livianos
Penance,good,-,-,Marvel Comics,-,182.0,89.0,Livianos
Penance I,good,Female,-,Marvel Comics,-,182.0,89.0,Livianos
Penance II,good,Male,-,Marvel Comics,-,183.0,89.0,Livianos
Penguin,bad,Male,Human,DC Comics,-,157.0,79.0,Livianos
Peter Petrelli,good,Male,-,NBC - Heroes,-,177.0,-99.0,
Phantom,good,Male,-,DC Comics,-,-99.0,-99.0,
Phantom Girl,good,Female,-,DC Comics,-,168.0,54.0,Livianos
Phoenix,good,Female,Mutant,Marvel Comics,-,168.0,52.0,Livianos
Plantman,bad,Male,Mutant,Marvel Comics,-,183.0,87.0,Livianos
Plastic Lad,good,Male,Human,DC Comics,-,185.0,81.0,Livianos
Plastic Man,good,Male,Human,DC Comics,-,185.0,80.0,Livianos
Plastique,bad,Female,-,DC Comics,-,168.0,55.0,Livianos
Poison Ivy,bad,Female,Human,DC Comics,green,168.0,50.0,Livianos
Polaris,good,Female,Mutant,Marvel Comics,-,170.0,52.0,Livianos
Power Girl,good,Female,Kryptonian,DC Comics,-,180.0,81.0,Livianos
Power Man,good,Male,Mutant,Marvel Comics,-,198.0,121.0,Livianos
Predator,bad,Male,Yautja,Dark Horse Comics,-,213.0,234.0,Pesados
Professor X,good,Male,Mutant,Marvel Comics,-,183.0,86.0,Livianos
Professor Zoom,bad,Male,Human,DC Comics,-,180.0,81.0,Livianos
Proto-Goblin,bad,Male,-,Marvel Comics,-,-99.0,-99.0,
Psylocke,good,Female,Mutant,Marvel Comics,-,180.0,70.0,Livianos
Punisher,good,Male,Human,Marvel Comics,-,183.0,90.0,Livianos
Purple Man,bad,Male,Human,Marvel Comics,purple,180.0,74.0,Livianos
Pyro,bad,Male,-,Marvel Comics,-,178.0,68.0,Livianos
Q,-,Male,God / Eternal,Star Trek,-,-99.0,-99.0,
Quantum,good,Male,-,HarperCollins,-,-99.0,-99.0,
Question,good,Male,Human,DC Comics,-,188.0,83.0,Livianos
Quicksilver,good,Male,Mutant,Marvel Comics,-,183.0,79.0,Livianos
Quill,good,Male,-,Marvel Comics,-,163.0,56.0,Livianos
Ra's Al Ghul,bad,Male,Human,DC Comics,-,193.0,97.0,Livianos
Rachel Pirzad,good,Female,Alpha,SyFy,-,-99.0,-99.0,
Raphael,good,Male,Mutant,IDW Publishing,green,185.0,-99.0,
Raven,neutral,Female,Human,DC Comics,-,165.0,50.0,Livianos
Ray,good,Male,Human,DC Comics,-,178.0,70.0,Livianos
Razor-Fist II,bad,Male,-,Marvel Comics,-,191.0,117.0,Livianos
Red Arrow,good,Male,Human,DC Comics,-,180.0,83.0,Livianos
Red Hood,neutral,Male,Human,DC Comics,-,183.0,81.0,Livianos
Red Hulk,neutral,Male,Human / Radiation,Marvel Comics,red,213.0,630.0,Pesados
Red Mist,bad,Male,-,Icon Comics,-,-99.0,-99.0,
Red Robin,good,Male,Human,DC Comics,-,165.0,56.0,Livianos
Red Skull,bad,Male,-,Marvel Comics,-,188.0,108.0,Livianos
Red Tornado,good,Male,Android,DC Comics,-,185.0,146.0,Livianos
Redeemer II,bad,Male,-,Image Comics,-,-99.0,-99.0,
Redeemer III,bad,Male,-,Image Comics,-,-99.0,-99.0,
Renata Soliz,good,Female,-,HarperCollins,-,-99.0,-99.0,
Rey,good,Female,Human,George Lucas,-,297.0,-99.0,
Rhino,bad,Male,Human / Radiation,Marvel Comics,-,196.0,320.0,Pesados
Rick Flag,bad,Male,-,DC Comics,-,185.0,85.0,Livianos
Riddler,bad,Male,-,DC Comics,-,175.0,68.0,Livianos
Rip Hunter,good,Male,Human,DC Comics,-,-99.0,-99.0,
Ripcord,good,Female,-,Marvel Comics,-,180.0,72.0,Livianos
Robin,good,Male,Human,DC Comics,-,178.0,79.0,Livianos
Robin II,good,Male,Human,DC Comics,-,183.0,101.0,Livianos
Robin III,good,Male,Human,DC Comics,-,165.0,56.0,Livianos
Robin V,good,Male,Human,DC Comics,-,137.0,38.0,Livianos
Robin VI,neutral,Female,Human,DC Comics,-,-99.0,-99.0,
Rocket Raccoon,good,Male,Animal,Marvel Comics,-,122.0,25.0,Livianos
Rogue,good,Female,-,Marvel Comics,-,173.0,54.0,Livianos
Ronin,good,Male,Human,Marvel Comics,-,191.0,104.0,Livianos
Rorschach,good,Male,Human,DC Comics,-,168.0,63.0,Livianos
Sabretooth,bad,Male,Mutant,Marvel Comics,-,198.0,171.0,Pesados
Sage,good,Female,-,Marvel Comics,-,170.0,61.0,Livianos
Sandman,neutral,Male,Human,Marvel Comics,-,185.0,203.0,Pesados
Sasquatch,good,Male,-,Marvel Comics,-,305.0,900.0,Pesados
Sauron,bad,Male,Maiar,J. R. R. Tolkien,-,279.0,-99.0,
Savage Dragon,good,Male,-,Image Comics,-,190.0,-99.0,
Scarecrow,bad,Male,Human,DC Comics,-,183.0,63.0,Livianos
Scarlet Spider,good,Male,Human,Marvel Comics,-,178.0,74.0,Livianos
Scarlet Spider II,good,Male,Clone,Marvel Comics,-,193.0,113.0,Livianos
Scarlet Witch,bad,Female,Mutant,Marvel Comics,-,170.0,59.0,Livianos
Scorpia,bad,Female,-,Marvel Comics,-,178.0,63.0,Livianos
Scorpion,bad,Male,Human,Marvel Comics,-,211.0,310.0,Pesados
Sebastian Shaw,bad,Male,Mutant,Marvel Comics,-,-99.0,-99.0,
Sentry,neutral,Male,Mutant,Marvel Comics,-,188.0,87.0,Livianos
Shadow King,good,-,-,Marvel Comics,-,185.0,149.0,Livianos
Shadow Lass,good,Female,Talokite,DC Comics,blue,173.0,54.0,Livianos
Shadowcat,good,Female,Mutant,Marvel Comics,-,168.0,50.0,Livianos
Shang-Chi,good,Male,Human,Marvel Comics,-,178.0,79.0,Livianos
Shatterstar,good,Male,-,Marvel Comics,-,191.0,88.0,Livianos
She-Hulk,good,Female,Human,Marvel Comics,-,201.0,315.0,Pesados
She-Thing,good,Female,Human / Radiation,Marvel Comics,-,183.0,153.0,Livianos
Shocker,bad,Male,Human,Marvel Comics,-,175.0,79.0,Livianos
Shriek,good,Female,-,Marvel Comics,-,173.0,52.0,Livianos
Shrinking Violet,good,Female,-,DC Comics,-,167.0,54.0,Livianos
Sif,good,Female,Asgardian,Marvel Comics,-,188.0,191.0,Pesados
Silk,good,Female,Human,Marvel Comics,-,170.0,59.0,Livianos
Silk Spectre,good,Female,-,DC Comics,-,-99.0,-99.0,
Silk Spectre II,good,Female,-,DC Comics,-,-99.0,-99.0,
Silver Surfer,good,Male,Alien,Marvel Comics,silver,193.0,101.0,Livianos
Silverclaw,good,Female,-,Marvel Comics,-,157.0,50.0,Livianos
Simon Baz,good,Male,Human,DC Comics,-,-99.0,-99.0,
Sinestro,neutral,Male,Korugaran,DC Comics,red,201.0,92.0,Livianos
Siren,bad,Female,Atlantean,DC Comics,-,175.0,72.0,Livianos
Siren II,bad,Female,-,DC Comics,-,-99.0,-99.0,
Siryn,bad,Female,-,Marvel Comics,-,168.0,52.0,Livianos
Skaar,good,Male,-,Marvel Comics,-,198.0,180.0,Pesados
Snake-Eyes,bad,Male,Animal,Marvel Comics,-,-99.0,-99.0,
Snowbird,good,Female,-,Marvel Comics,-,178.0,49.0,Livianos
Sobek,good,Male,-,DC Comics,-,-99.0,-99.0,
Solomon Grundy,bad,Male,Zombie,DC Comics,-,279.0,437.0,Pesados
Songbird,good,Female,-,Marvel Comics,-,165.0,65.0,Livianos
Space Ghost,good,Male,Human,DC Comics,-,188.0,113.0,Livianos
Spawn,good,Male,Demon,Image Comics,-,211.0,405.0,Pesados
Spectre,good,Male,God / Eternal,DC Comics,white,-99.0,-99.0,
Speedball,good,Male,-,Marvel Comics,-,182.0,90.0,Livianos
Speedy,good,Male,Human,DC Comics,-,181.0,81.0,Livianos
Speedy,good,Female,Human,DC Comics,-,181.0,81.0,Livianos
Spider-Carnage,bad,Male,Symbiote,Marvel Comics,-,-99.0,-99.0,
Spider-Girl,good,Female,Human,Marvel Comics,-,170.0,54.0,Livianos
Spider-Gwen,good,Female,Human,Marvel Comics,-,165.0,56.0,Livianos
Spider-Man,good,Male,Human,Marvel Comics,-,178.0,74.0,Livianos
Spider-Man,good,-,Human,Marvel Comics,-,178.0,77.0,Livianos
Spider-Man,good,Male,Human,Marvel Comics,-,157.0,56.0,Livianos
Spider-Woman,good,Female,Human,Marvel Comics,-,178.0,59.0,Livianos
Spider-Woman II,good,Female,-,Marvel Comics,-,-99.0,-99.0,
Spider-Woman III,good,Female,-,Marvel Comics,-,173.0,55.0,Livianos
Spider-Woman IV,bad,Female,-,Marvel Comics,-,178.0,58.0,Livianos
Spock,good,Male,Human-Vulcan,Star Trek,-,185.0,81.0,Livianos
Spyke,good,Male,Mutant,Marvel Comics,-,183.0,83.0,Livianos
Stacy X,good,Female,-,Marvel Comics,-,-99.0,-99.0,
Star-Lord,good,Male,Human-Spartoi,Marvel Comics,-,188.0,79.0,Livianos
Stardust,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Starfire,good,Female,Tamaranean,DC Comics,orange,193.0,71.0,Livianos
Stargirl,good,Female,Human,DC Comics,-,165.0,62.0,Livianos
Static,good,Male,Mutant,DC Comics,-,170.0,63.0,Livianos
Steel,good,Male,-,DC Comics,-,201.0,131.0,Livianos
Stephanie Powell,good,Female,-,ABC Studios,-,-99.0,-99.0,
Steppenwolf,bad,Male,New God,DC Comics,white,183.0,91.0,Livianos
Storm,good,Female,Mutant,Marvel Comics,-,180.0,57.0,Livianos
Stormtrooper,bad,Male,Human,George Lucas,-,183.0,-99.0,
Sunspot,good,Male,Mutant,Marvel Comics,-,173.0,77.0,Livianos
Superboy,good,Male,-,DC Comics,-,170.0,68.0,Livianos
Superboy-Prime,bad,Male,Kryptonian,DC Comics,-,180.0,77.0,Livianos
Supergirl,good,Female,Kryptonian,DC Comics,-,165.0,54.0,Livianos
Superman,good,Male,Kryptonian,DC Comics,-,191.0,101.0,Livianos
Swamp Thing,bad,Male,God / Eternal,DC Comics,green,-99.0,-99.0,
Swarm,bad,Male,Mutant,Marvel Comics,yellow,196.0,47.0,Livianos
Sylar,bad,Male,-,NBC - Heroes,-,-99.0,-99.0,
Synch,good,Male,-,Marvel Comics,-,180.0,74.0,Livianos
T-1000,bad,Male,Android,Dark Horse Comics,silver,183.0,146.0,Livianos
T-800,bad,Male,Cyborg,Dark Horse Comics,-,-99.0,176.0,Pesados
T-850,bad,Male,Cyborg,Dark Horse Comics,-,-99.0,198.0,Pesados
T-X,bad,Female,Cyborg,Dark Horse Comics,silver,-99.0,149.0,Livianos
Taskmaster,bad,Male,Human,Marvel Comics,-,188.0,99.0,Livianos
Tempest,good,Female,-,Marvel Comics,-,163.0,54.0,Livianos
Thanos,bad,Male,Eternal,Marvel Comics,purple,201.0,443.0,Pesados
The Comedian,neutral,Male,Human,DC Comics,-,188.0,101.0,Livianos
Thing,good,Male,Human / Radiation,Marvel Comics,-,183.0,225.0,Pesados
Thor,good,Male,Asgardian,Marvel Comics,-,198.0,288.0,Pesados
Thor Girl,good,Female,Asgardian,Marvel Comics,-,175.0,143.0,Livianos
Thunderbird,good,Male,-,Marvel Comics,-,185.0,101.0,Livianos
Thunderbird II,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Thunderbird III,good,Male,-,Marvel Comics,-,175.0,74.0,Livianos
Thunderstrike,good,Male,-,Marvel Comics,-,198.0,288.0,Pesados
Thundra,good,Female,-,Marvel Comics,-,218.0,158.0,Livianos
Tiger Shark,bad,Male,Human,Marvel Comics,grey,185.0,203.0,Pesados
Tigra,good,Female,-,Marvel Comics,-,178.0,81.0,Livianos
Tinkerer,bad,Male,-,Marvel Comics,-,163.0,54.0,Livianos
Titan,good,Male,-,HarperCollins,-,-99.0,-99.0,
Toad,neutral,Male,Mutant,Marvel Comics,green,175.0,76.0,Livianos
Toxin,good,Male,Symbiote,Marvel Comics,-,188.0,97.0,Livianos
Toxin,good,Male,Symbiote,Marvel Comics,-,191.0,117.0,Livianos
Tracy Strauss,good,Female,-,NBC - Heroes,-,-99.0,-99.0,
Trickster,-,Male,Human,DC Comics,-,183.0,81.0,Livianos
Trigon,bad,Male,God / Eternal,DC Comics,red,-99.0,-99.0,
Triplicate Girl,good,Female,-,DC Comics,-,168.0,59.0,Livianos
Triton,good,Male,Inhuman,Marvel Comics,green,188.0,86.0,Livianos
Two-Face,bad,Male,-,DC Comics,-,183.0,82.0,Livianos
Ultragirl,good,Female,-,Marvel Comics,-,168.0,105.0,Livianos
Ultron,bad,Male,Android,Marvel Comics,silver,206.0,331.0,Pesados
Utgard-Loki,bad,Male,Frost Giant,Marvel Comics,-,152.0,58.0,Livianos
Vagabond,good,Female,-,Marvel Comics,-,168.0,54.0,Livianos
Valerie Hart,good,Female,-,Team Epic TV,-,175.0,56.0,Livianos
Valkyrie,good,Female,-,Marvel Comics,-,191.0,214.0,Pesados
Vanisher,bad,Male,-,Marvel Comics,-,165.0,79.0,Livianos
Vegeta,bad,Male,Saiyan,Shueisha,-,168.0,73.0,Livianos
Venom,bad,Male,Symbiote,Marvel Comics,-,191.0,117.0,Livianos
Venom II,bad,Male,-,Marvel Comics,-,175.0,50.0,Livianos
Venom III,bad,Male,Symbiote,Marvel Comics,-,229.0,334.0,Pesados
Venompool,-,Male,Symbiote,Marvel Comics,-,226.0,-99.0,
Vertigo II,good,Female,-,Marvel Comics,-,168.0,52.0,Livianos
Vibe,good,Male,Human,DC Comics,-,178.0,71.0,Livianos
Vindicator,good,Female,Human,Marvel Comics,-,165.0,54.0,Livianos
Vindicator,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Violator,bad,Male,-,Image Comics,-,248.0,-99.0,
Violet Parr,good,Female,Human,Dark Horse Comics,-,137.0,41.0,Livianos
Vision,good,Male,Android,Marvel Comics,red,191.0,135.0,Livianos
Vision II,good,-,-,Marvel Comics,-,191.0,135.0,Livianos
Vixen,good,Female,Human,DC Comics,-,175.0,63.0,Livianos
Vulcan,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Vulture,bad,Male,Human,Marvel Comics,-,180.0,79.0,Livianos
Walrus,bad,Male,Human,Marvel Comics,-,183.0,162.0,Pesados
War Machine,good,Male,Human,Marvel Comics,-,185.0,95.0,Livianos
Warbird,good,Female,-,Marvel Comics,-,180.0,54.0,Livianos
Warlock,good,Male,-,Marvel Comics,-,188.0,108.0,Livianos
Warp,bad,Male,-,DC Comics,-,173.0,67.0,Livianos
Warpath,good,Male,Mutant,Marvel Comics,-,218.0,158.0,Livianos
Wasp,good,Female,Human,Marvel Comics,-,163.0,50.0,Livianos
Watcher,good,Male,-,Marvel Comics,-,-99.0,-99.0,
Weapon XI,bad,Male,-,Marvel Comics,-,-99.0,-99.0,
White Canary,bad,Female,Human,DC Comics,-,-99.0,-99.0,
White Queen,good,Female,-,Marvel Comics,-,178.0,65.0,Livianos
Wildfire,good,Male,-,DC Comics,-,-99.0,-99.0,
Winter Soldier,good,Male,Human,Marvel Comics,-,175.0,117.0,Livianos
Wiz Kid,good,-,-,Marvel Comics,-,140.0,39.0,Livianos
Wolfsbane,good,Female,-,Marvel Comics,-,366.0,473.0,Pesados
Wolverine,good,Male,Mutant,Marvel Comics,-,160.0,135.0,Livianos
Wonder Girl,good,Female,Demi-God,DC Comics,-,165.0,51.0,Livianos
Wonder Man,good,Male,-,Marvel Comics,-,188.0,171.0,Pesados
Wonder Woman,good,Female,Amazon,DC Comics,-,183.0,74.0,Livianos
Wondra,good,Female,-,Marvel Comics,-,-99.0,-99.0,
Wyatt Wingfoot,good,Male,-,Marvel Comics,-,196.0,117.0,Livianos
X-23,good,Female,Mutant / Clone,Marvel Comics,-,155.0,50.0,Livianos
X-Man,good,Male,-,Marvel Comics,-,175.0,61.0,Livianos
Yellow Claw,bad,Male,-,Marvel Comics,-,188.0,95.0,Livianos
Yellowjacket,good,Male,Human,Marvel Comics,-,183.0,83.0,Livianos
Yellowjacket II,good,Female,Human,Marvel Comics,-,165.0,52.0,Livianos
Ymir,good,Male,Frost Giant,Marvel Comics,white,304.8,-99.0,
Yoda,good,Male,Yoda's species,George Lucas,green,66.0,17.0,Livianos
Zatanna,good,Female,Human,DC Comics,-,170.0,57.0,Livianos
Zoom,bad,Male,-,DC Comics,-,185.0,81.0,Livianos
